POS.,MODELO,MAR.26 (A),% TOTAL,FEV.26 (B),% TOTAL_1,% VAR. (A/B),POS. FEV.,mes
1º,VW POLO,11.051,"5,35%",7.517,"5,35%","47,01%",1º,fev_2026
2º,CHEVROLET ONIX,10.182,"4,93%",6.450,"4,59%","57,86%",4º,fev_2026
3º,FIAT ARGO,8.281,"4,01%",6.478,"4,61%","27,83%",3º,fev_2026
4º,VW TERA,7.977,"3,87%",5.358,"3,81%","48,88%",6º,fev_2026
5º,HYUNDAI HB20,7.713,"3,74%",5.124,"3,65%","50,53%",8º,fev_2026
6º,VW T-CROSS,7.622,"3,69%",5.667,"4,03%","34,50%",5º,fev_2026
7º,FIAT MOBI,7.241,"3,51%",6.560,"4,67%","10,38%",2º,fev_2026
8º,BYD DOLPHIN MINI,7.053,"3,42%",4.874,"3,47%","44,71%",10º,fev_2026
9º,HYUNDAI CRETA,6.674,"3,23%",5.045,"3,59%","32,29%",9º,fev_2026
10º,RENAULT KWID,6.454,"3,13%",5.194,"3,70%","24,26%",7º,fev_2026
11º,CHEVROLET TRACKER,5.795,"2,81%",4.003,"2,85%","44,77%",12º,fev_2026
12º,VW NIVUS,5.795,"2,81%",3.851,"2,74%","50,48%",13º,fev_2026
13º,JEEP COMPASS,5.434,"2,63%",4.169,"2,97%","30,34%",11º,fev_2026
14º,FIAT PULSE,5.167,"2,50%",3.057,"2,18%","69,02%",17º,fev_2026
15º,BYD SONG,5.054,"2,45%",3.702,"2,63%","36,52%",15º,fev_2026
16º,CAOA CHERY TIGGO 5X,5.007,"2,43%",207,"0,15%","2318,84%",65º,fev_2026
17º,CHEVROLET ONIX PLUS,4.921,"2,38%",1.994,"1,42%","146,79%",26º,fev_2026
18º,HYUNDAI HB20S,4.655,"2,26%",1.855,"1,32%","150,94%",28º,fev_2026
19º,NISSAN KAIT,4.462,"2,16%",1.294,"0,92%","244,82%",30º,fev_2026
20º,FIAT FASTBACK,4.444,"2,15%",3.833,"2,73%","15,94%",14º,fev_2026
21º,HONDA HR-V,3.995,"1,94%",2.948,"2,10%","35,52%",18º,fev_2026
22º,TOYOTA YARIS CROSS,3.864,"1,87%",593,"0,42%","551,60%",48º,fev_2026
23º,TOYOTA COROLLA CROSS,3.747,"1,82%",2.899,"2,06%","29,25%",19º,fev_2026
24º,HONDA WR-V,3.540,"1,72%",2.630,"1,87%","34,60%",22º,fev_2026
25º,VW VIRTUS,3.410,"1,65%",2.489,"1,77%","37,00%",23º,fev_2026
26º,JEEP RENEGADE,3.319,"1,61%",2.686,"1,91%","23,57%",21º,fev_2026
27º,GWM HAVAL H6,3.318,"1,61%",3.237,"2,30%","2,50%",16º,fev_2026
28º,NISSAN KICKS,3.028,"1,47%",2.875,"2,05%","5,32%",20º,fev_2026
29º,TOYOTA COROLLA,2.900,"1,41%",2.149,"1,53%","34,95%",25º,fev_2026
30º,CAOA CHERY TIGGO 7,2.665,"1,29%",2.205,"1,57%","20,86%",24º,fev_2026
31º,FIAT CRONOS,2.126,"1,03%",1.856,"1,32%","14,55%",27º,fev_2026
32º,BYD DOLPHIN,1.852,"0,90%",1.193,"0,85%","55,24%",31º,fev_2026
33º,CHEVROLET SPIN,1.658,"0,80%",1.024,"0,73%","61,91%",36º,fev_2026
34º,OMODA JAECOO OMODA 5,1.580,"0,77%",1.179,"0,84%","34,01%",32º,fev_2026
35º,RENAULT KARDIAN,1.389,"0,67%",1.122,"0,80%","23,80%",33º,fev_2026
36º,JEEP COMMANDER,1.355,"0,66%",1.371,"0,98%","-1,17%",29º,fev_2026
37º,CITROËN C3,1.334,"0,65%",779,"0,55%","71,25%",43º,fev_2026
38º,BYD KING,1.274,"0,62%",907,"0,65%","40,46%",41º,fev_2026
39º,RENAULT BOREAL,1.272,"0,62%",611,"0,43%","108,18%",47º,fev_2026
40º,GWM HAVAL H9,1.170,"0,57%",672,"0,48%","74,11%",45º,fev_2026
41º,HONDA CITY HATCH,1.161,"0,56%",873,"0,62%","32,99%",42º,fev_2026
42º,HONDA CITY,1.159,"0,56%",1.058,"0,75%","9,55%",34º,fev_2026
43º,GEELY EX2,1.157,"0,56%",193,"0,14%","499,48%",67º,fev_2026
44º,VW TAOS,1.143,"0,55%",1.022,"0,73%","11,84%",37º,fev_2026
45º,RENAULT DUSTER,1.125,"0,55%",951,"0,68%","18,30%",40º,fev_2026
46º,TOYOTA SW4,1.117,"0,54%",1.031,"0,73%","8,34%",35º,fev_2026
47º,CAOA CHERY TIGGO 8,1.090,"0,53%",973,"0,69%","12,02%",38º,fev_2026
48º,CITROËN BASALT,1.015,"0,49%",971,"0,69%","4,53%",39º,fev_2026
49º,FORD TERRITORY,995,"0,48%",682,"0,49%","45,89%",44º,fev_2026
50º,PEUGEOT 2008,972,"0,47%",551,"0,39%","76,41%",50º,fev_2026
...,...,...,...,...,...,...,...,fev_2026
,TOTAL AUTOS,206.375,"100,00%",140.537,"100,00%","46,85%",,fev_2026
