POS.,MODELO,MAR.26 (A),% TOTAL,FEV.26 (B),% TOTAL_1,% VAR. (A/B),POS. FEV.,mes
1º,FIAT STRADA,16.706,"32,22%",11.191,"30,88%","49,28%",1º,mar_2026
2º,FIAT TORO,5.091,"9,82%",3.941,"10,87%","29,18%",2º,mar_2026
3º,VW SAVEIRO,4.876,"9,40%",2.827,"7,80%","72,48%",4º,mar_2026
4º,TOYOTA HILUX,3.979,"7,67%",3.304,"9,12%","20,43%",3º,mar_2026
5º,FORD RANGER,2.998,"5,78%",2.048,"5,65%","46,39%",5º,mar_2026
6º,CHEVROLET S10,2.625,"5,06%",1.578,"4,35%","66,35%",8º,mar_2026
7º,FIAT FIORINO,2.412,"4,65%",1.821,"5,02%","32,45%",7º,mar_2026
8º,RAM RAMPAGE,2.198,"4,24%",1.889,"5,21%","16,36%",6º,mar_2026
9º,CHEVROLET MONTANA,1.576,"3,04%",1.066,"2,94%","47,84%",9º,mar_2026
10º,RENAULT MASTER,1.106,"2,13%",655,"1,81%","68,85%",12º,mar_2026
11º,MITSUBISHI TRITON,964,"1,86%",710,"1,96%","35,77%",11º,mar_2026
12º,RENAULT OROCH,915,"1,76%",808,"2,23%","13,24%",10º,mar_2026
13º,GWM POER,677,"1,31%",258,"0,71%","162,40%",17º,mar_2026
14º,FIAT TITANO,581,"1,12%",367,"1,01%","58,31%",13º,mar_2026
15º,KIA K2500,448,"0,86%",324,"0,89%","38,27%",15º,mar_2026
16º,FORD MAVERICK,433,"0,84%",297,"0,82%","45,79%",16º,mar_2026
17º,RAM DAKOTA*,378,"0,73%",114,"0,31%",-,27º,mar_2026
18º,FIAT DUCATO,346,"0,67%",197,"0,54%","75,63%",20º,mar_2026
19º,NISSAN FRONTIER,306,"0,59%",83,"0,23%","268,67%",30º,mar_2026
20º,TOYOTA HIACE*,299,"0,58%",185,"0,51%",-,23º,mar_2026
21º,FIAT SCUDO,280,"0,54%",364,"1,00%","-23,08%",14º,mar_2026
22º,FORD TRANSIT,271,"0,52%",195,"0,54%","38,97%",21º,mar_2026
23º,EFFA V21,220,"0,42%",185,"0,51%","18,92%",22º,mar_2026
24º,VW TRUCK E BUS EXPRESS,220,"0,42%",204,"0,56%","7,84%",19º,mar_2026
25º,PEUGEOT EXPERT,216,"0,42%",130,"0,36%","66,15%",26º,mar_2026
26º,IVECO DAILY,182,"0,35%",177,"0,49%","2,82%",24º,mar_2026
27º,RENAULT KANGOO,148,"0,29%",175,"0,48%","-15,43%",25º,mar_2026
28º,IVECO DAILY 30-130,142,"0,27%",77,"0,21%","84,42%",32º,mar_2026
29º,BYD SHARK,135,"0,26%",51,"0,14%","164,71%",36º,mar_2026
30º,CITROËN JUMPY,126,"0,24%",92,"0,25%","36,96%",28º,mar_2026
31º,VW AMAROK,125,"0,24%",233,"0,64%","-46,35%",18º,mar_2026
32º,FORD F150,109,"0,21%",75,"0,21%","45,33%",33º,mar_2026
33º,MERCEDES-BENZ SPRINTER 317,87,"0,17%",53,"0,15%","64,15%",35º,mar_2026
34º,FOTON AUMARK S 315,80,"0,15%",78,"0,22%","2,56%",31º,mar_2026
35º,MERCEDES-BENZ SPRINTER 417,78,"0,15%",55,"0,15%","41,82%",34º,mar_2026
36º,CHEVROLET SILVERADO,76,"0,15%",86,"0,24%","-11,63%",29º,mar_2026
37º,PEUGEOT PARTNER,56,"0,11%",34,"0,09%","64,71%",41º,mar_2026
38º,SHINERAY TLUX,54,"0,10%",45,"0,12%","20,00%",37º,mar_2026
39º,PEUGEOT BOXER,51,"0,10%",18,"0,05%","183,33%",45º,mar_2026
40º,FOTON TUNLAND,35,"0,07%",44,"0,12%","-20,45%",38º,mar_2026
41º,EFFA V22,33,"0,06%",34,"0,09%","-2,94%",40º,mar_2026
42º,CITROËN JUMPER,31,"0,06%",28,"0,08%","10,71%",42º,mar_2026
43º,JAC HUNTER,27,"0,05%",39,"0,11%","-30,77%",39º,mar_2026
44º,FEVER ORCA*,20,"0,04%",0,"0,00%",-,74º,mar_2026
45º,MERCEDES-BENZ ESPRINTER 320*,17,"0,03%",0,"0,00%",-,96º,mar_2026
46º,RAM 3500,17,"0,03%",25,"0,07%","-32,00%",43º,mar_2026
47º,IVECO DAILY 35-180,16,"0,03%",10,"0,03%","60,00%",46º,mar_2026
48º,EFFA V25,14,"0,03%",9,"0,02%","55,56%",47º,mar_2026
49º,FARIZON V6E*,11,"0,02%",0,"0,00%",-,111º,mar_2026
50º,HYUNDAI HR,10,"0,02%",23,"0,06%","-56,52%",44º,mar_2026
...,...,...,...,...,...,...,...,mar_2026
,TOTAL COMERCIAIS,51.848,"100,00%",36.245,"100,00%","43,05%",,mar_2026
