POS.,MODELO,MAR.26 (A),% TOTAL,FEV.26 (B),% TOTAL_1,% VAR. (A/B),mes,POS. FEV.
1º,FIAT STRADA,16.706,"6,47%",11.191,"6,33%","49,28%",jan_2026,
2º,VW POLO,11.051,"4,28%",7.517,"4,25%","47,01%",jan_2026,
3º,CHEVROLET ONIX,10.182,"3,94%",6.450,"3,65%","57,86%",jan_2026,
4º,FIAT ARGO,8.281,"3,21%",6.478,"3,66%","27,83%",jan_2026,
5º,VW TERA,7.977,"3,09%",5.358,"3,03%","48,88%",jan_2026,
6º,HYUNDAI HB20,7.713,"2,99%",5.124,"2,90%","50,53%",jan_2026,
7º,VW T-CROSS,7.622,"2,95%",5.667,"3,21%","34,50%",jan_2026,
8º,FIAT MOBI,7.241,"2,80%",6.560,"3,71%","10,38%",jan_2026,
9º,BYD DOLPHIN MINI,7.053,"2,73%",4.874,"2,76%","44,71%",jan_2026,
10º,HYUNDAI CRETA,6.674,"2,58%",5.045,"2,85%","32,29%",jan_2026,
11º,RENAULT KWID,6.454,"2,50%",5.194,"2,94%","24,26%",jan_2026,
12º,CHEVROLET TRACKER,5.795,"2,24%",4.003,"2,26%","44,77%",jan_2026,
13º,VW NIVUS,5.795,"2,24%",3.851,"2,18%","50,48%",jan_2026,
14º,JEEP COMPASS,5.434,"2,10%",4.169,"2,36%","30,34%",jan_2026,
15º,FIAT PULSE,5.167,"2,00%",3.057,"1,73%","69,02%",jan_2026,
16º,FIAT TORO,5.091,"1,97%",3.941,"2,23%","29,18%",jan_2026,
17º,BYD SONG,5.054,"1,96%",3.702,"2,09%","36,52%",jan_2026,
18º,CAOA CHERY TIGGO 5X,5.007,"1,94%",207,"0,12%","2318,84%",jan_2026,
19º,CHEVROLET ONIX PLUS,4.921,"1,91%",1.994,"1,13%","146,79%",jan_2026,
20º,VW SAVEIRO,4.876,"1,89%",2.827,"1,60%","72,48%",jan_2026,
21º,HYUNDAI HB20S,4.655,"1,80%",1.855,"1,05%","150,94%",jan_2026,
22º,NISSAN KAIT,4.462,"1,73%",1.294,"0,73%","244,82%",jan_2026,
23º,FIAT FASTBACK,4.444,"1,72%",3.833,"2,17%","15,94%",jan_2026,
24º,HONDA HR-V,3.995,"1,55%",2.948,"1,67%","35,52%",jan_2026,
25º,TOYOTA HILUX,3.979,"1,54%",3.304,"1,87%","20,43%",jan_2026,
26º,TOYOTA YARIS CROSS,3.864,"1,50%",593,"0,34%","551,60%",jan_2026,
27º,TOYOTA COROLLA CROSS,3.747,"1,45%",2.899,"1,64%","29,25%",jan_2026,
28º,HONDA WR-V,3.540,"1,37%",2.630,"1,49%","34,60%",jan_2026,
29º,VW VIRTUS,3.410,"1,32%",2.489,"1,41%","37,00%",jan_2026,
30º,JEEP RENEGADE,3.319,"1,29%",2.686,"1,52%","23,57%",jan_2026,
31º,GWM HAVAL H6,3.318,"1,28%",3.237,"1,83%","2,50%",jan_2026,
32º,NISSAN KICKS,3.028,"1,17%",2.875,"1,63%","5,32%",jan_2026,
33º,FORD RANGER,2.998,"1,16%",2.048,"1,16%","46,39%",jan_2026,
34º,TOYOTA COROLLA,2.900,"1,12%",2.149,"1,22%","34,95%",jan_2026,
35º,CAOA CHERY TIGGO 7,2.665,"1,03%",2.205,"1,25%","20,86%",jan_2026,
36º,CHEVROLET S10,2.625,"1,02%",1.578,"0,89%","66,35%",jan_2026,
37º,FIAT FIORINO,2.412,"0,93%",1.821,"1,03%","32,45%",jan_2026,
38º,RAM RAMPAGE,2.198,"0,85%",1.889,"1,07%","16,36%",jan_2026,
39º,FIAT CRONOS,2.126,"0,82%",1.856,"1,05%","14,55%",jan_2026,
40º,BYD DOLPHIN,1.852,"0,72%",1.193,"0,67%","55,24%",jan_2026,
41º,CHEVROLET SPIN,1.658,"0,64%",1.024,"0,58%","61,91%",jan_2026,
42º,OMODA JAECOO OMODA 5,1.580,"0,61%",1.179,"0,67%","34,01%",jan_2026,
43º,CHEVROLET MONTANA,1.576,"0,61%",1.066,"0,60%","47,84%",jan_2026,
44º,RENAULT KARDIAN,1.389,"0,54%",1.122,"0,63%","23,80%",jan_2026,
45º,JEEP COMMANDER,1.355,"0,52%",1.371,"0,78%","-1,17%",jan_2026,
46º,CITROËN C3,1.334,"0,52%",779,"0,44%","71,25%",jan_2026,
47º,BYD KING,1.274,"0,49%",907,"0,51%","40,46%",jan_2026,
48º,RENAULT BOREAL,1.272,"0,49%",611,"0,35%","108,18%",jan_2026,
49º,GWM HAVAL H9,1.170,"0,45%",672,"0,38%","74,11%",jan_2026,
50º,HONDA CITY HATCH,1.161,"0,45%",873,"0,49%","32,99%",jan_2026,
...,...,...,...,...,...,...,jan_2026,
,TOTAL AUTOS + COMERCIAIS LEVES,258.223,"100,00%",176.782,"100,00%","46,07%",jan_2026,
1º,VW POLO,11.051,"5,35%",7.517,"5,35%","47,01%",fev_2026,1º
2º,CHEVROLET ONIX,10.182,"4,93%",6.450,"4,59%","57,86%",fev_2026,4º
3º,FIAT ARGO,8.281,"4,01%",6.478,"4,61%","27,83%",fev_2026,3º
4º,VW TERA,7.977,"3,87%",5.358,"3,81%","48,88%",fev_2026,6º
5º,HYUNDAI HB20,7.713,"3,74%",5.124,"3,65%","50,53%",fev_2026,8º
6º,VW T-CROSS,7.622,"3,69%",5.667,"4,03%","34,50%",fev_2026,5º
