POS.,MODELO,MAR.2026
1º,FIAT STRADA,16706
2º,VW POLO,11051
3º,CHEVROLET ONIX,10182
4º,FIAT ARGO,8281
5º,VW TERA,7977
6º,HYUNDAI HB20,7713
7º,VW T-CROSS,7623
8º,FIAT MOBI,7241
9º,BYD DOLPHIN MINI,7053
10º,HYUNDAI CRETA,6674
11º,RENAULT KWID,6459
12º,CHEVROLET TRACKER,5795
13º,VW NIVUS,5795
14º,JEEP COMPASS,5435
15º,FIAT PULSE,5168
16º,FIAT TORO,5091
17º,CAOA CHERY TIGGO 5X,5007
18º,CHEVROLET ONIX PLUS,4921
19º,VW SAVEIRO,4877
20º,HYUNDAI HB20S,4655
21º,NISSAN KAIT,4462
22º,FIAT FASTBACK,4444
23º,HONDA HR-V,3995
24º,TOYOTA HILUX,3978
25º,TOYOTA YARIS CROSS,3864
26º,TOYOTA COROLLA CROSS,3747
27º,HONDA WR-V,3540
28º,VW VIRTUS,3410
29º,JEEP RENEGADE,3319
30º,GWM HAVAL H6,3318
31º,BYD SONG PRO,3064
32º,NISSAN KICKS,3028
33º,FORD RANGER,2998
34º,TOYOTA COROLLA,2901
35º,CAOA CHERY TIGGO 7,2665
36º,CHEVROLET S10,2625
37º,FIAT FIORINO,2412
38º,RAM RAMPAGE,2198
39º,FIAT CRONOS,2126
40º,BYD SONG PLUS,1990
41º,BYD DOLPHIN,1853
42º,CHEVROLET SPIN,1658
43º,OMODA 5,1648
44º,CHEVROLET MONTANA,1576
45º,RENAULT KARDIAN,1389
46º,JEEP COMMANDER,1355
47º,CITROËN C3,1334
48º,BYD KING,1274
49º,RENAULT BOREAL,1272
50º,GWM HAVAL H9,1170
